Kelas,NIM,uts teori,uas teori,uts praktikum,uas praktikum,quiz1,quiz2,quiz3
B,J3D116043,60.0,51.0,87.5,84.3,92.0,100.0,100.0
B,J3D116050,40.0,72.0,56.0,75.6,86.0,68.0,75.0
B,J3D116051,42.0,69.0,31.0,26.8,65.0,100.0,100.0
B,J3D116054,31.0,52.0,41.5,35.1,82.0,100.0,75.0
B,J3D116055,64.0,78.0,49.5,71.5,70.0,100.0,100.0
B,J3D116056,44.0,79.0,64.0,31.6,89.0,100.0,98.0
B,J3D116063,57.0,82.0,43.5,79.7,92.0,75.0,100.0
B,J3D116064,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B,J3D116065,40.0,77.0,79.0,74.5,92.0,100.0,85.0
B,J3D116066,31.0,65.0,50.5,76.0,89.0,100.0,70.0
B,J3D116067,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B,J3D116086,53.0,81.0,87.5,67.0,85.0,100.0,100.0
B,J3D116087,53.0,74.0,39.0,14.0,75.0,100.0,85.0
B,J3D116088,41.0,62.0,37.0,64.0,86.0,63.0,73.0
B,J3D116089,36.0,35.0,41.5,74.5,76.0,20.0,80.0
B,J3D116091,50.0,53.0,49.5,73.8,92.0,100.0,0.0
B,J3D116092,80.0,80.0,93.5,84.3,92.0,100.0,100.0
B,J3D116098,33.0,35.0,47.5,76.0,75.0,59.0,50.0
B,J3D116099,58.0,29.0,29.0,65.3,75.0,60.0,97.0
B,J3D116104,50.0,68.0,60.0,71.1,92.0,100.0,80.0
B,J3D116109,55.0,74.0,72.5,58.0,88.0,95.0,100.0
B,J3D116110,31.0,58.0,28.5,60.6,70.0,100.0,93.0
B,J3D116111,50.0,59.0,83.0,74.5,89.0,68.0,98.0
B,J3D116116,48.0,38.0,10.0,78.2,70.0,20.0,78.0
B,J3D116117,30.0,75.0,50.0,50.2,91.0,100.0,100.0
B,J3D116120,41.0,71.0,22.5,68.6,76.0,20.0,65.0
B,J3D116122,40.0,68.0,71.0,77.7,70.0,100.0,60.0
B,J3D116124,40.0,57.0,22.5,65.1,75.0,100.0,100.0
B,J3D116127,56.0,81.0,56.0,64.0,88.0,54.0,80.0
B,J3D116128,38.0,37.0,35.0,79.0,70.0,100.0,77.0
B,J3D116135,35.0,37.0,30.0,49.0,60.0,20.0,65.0
B,J3D116136,36.0,72.0,20.5,68.5,68.0,41.0,75.0
B,J3D116137,51.0,34.0,37.0,66.1,65.0,60.0,100.0
B,J3D116138,41.0,58.0,27.0,70.5,70.0,100.0,70.0
B,J3D116144,40.0,76.0,25.0,74.7,75.0,100.0,100.0
B,J3D116146,63.0,74.0,51.5,54.0,75.0,95.0,60.0
B,J3D215137,51.0,34.0,12.5,14.0,50.0,41.0,100.0
